Epoch 1/1 | Step 7800/39695 | Loss: 3.2337 | Avg: 3.9491
Epoch 1/1 | Step 7900/39695 | Loss: 2.9668 | Avg: 3.9409
Epoch 1/1 | Step 8000/39695 | Loss: 3.2822 | Avg: 3.9329
Epoch 1/1 | Step 8100/39695 | Loss: 3.3554 | Avg: 3.9248
Epoch 1/1 | Step 8200/39695 | Loss: 3.0987 | Avg: 3.9171
Epoch 1/1 | Step 8300/39695 | Loss: 3.1400 | Avg: 3.9095
Epoch 1/1 | Step 8400/39695 | Loss: 3.3008 | Avg: 3.9017
Epoch 1/1 | Step 8500/39695 | Loss: 3.1431 | Avg: 3.8944
Epoch 1/1 | Step 8600/39695 | Loss: 3.4612 | Avg: 3.8872
Epoch 1/1 | Step 8700/39695 | Loss: 3.2798 | Avg: 3.8799
Epoch 1/1 | Step 8800/39695 | Loss: 3.2779 | Avg: 3.8731
Epoch 1/1 | Step 8900/39695 | Loss: 3.4505 | Avg: 3.8662
Epoch 1/1 | Step 9000/39695 | Loss: 3.1667 | Avg: 3.8591
Epoch 1/1 | Step 9100/39695 | Loss: 3.2939 | Avg: 3.8523
Epoch 1/1 | Step 9200/39695 | Loss: 3.2213 | Avg: 3.8455
Epoch 1/1 | Step 9300/39695 | Loss: 3.1587 | Avg: 3.8392
Epoch 1/1 | Step 9400/39695 | Loss: 3.0339 | Avg: 3.8329
Epoch 1/1 | Step 9500/39695 | Loss: 3.1918 | Avg: 3.8268
Epoch 1/1 | Step 9600/39695 | Loss: 3.1348 | Avg: 3.8206
Epoch 1/1 | Step 9700/39695 | Loss: 3.2096 | Avg: 3.8145
Epoch 1/1 | Step 9800/39695 | Loss: 3.1879 | Avg: 3.8086
Epoch 1/1 | Step 9900/39695 | Loss: 3.3208 | Avg: 3.8027
Epoch 1/1 | Step 10000/39695 | Loss: 3.4382 | Avg: 3.7969
Epoch 1/1 | Step 10100/39695 | Loss: 3.4814 | Avg: 3.7912
Epoch 1/1 | Step 10200/39695 | Loss: 3.1909 | Avg: 3.7856
Epoch 1/1 | Step 10300/39695 | Loss: 3.3061 | Avg: 3.7802
Epoch 1/1 | Step 10400/39695 | Loss: 3.2529 | Avg: 3.7750
Epoch 1/1 | Step 10500/39695 | Loss: 3.2944 | Avg: 3.7695
Epoch 1/1 | Step 10600/39695 | Loss: 3.4177 | Avg: 3.7642
Epoch 1/1 | Step 10700/39695 | Loss: 3.3359 | Avg: 3.7589
Epoch 1/1 | Step 10800/39695 | Loss: 3.4645 | Avg: 3.7540
Epoch 1/1 | Step 10900/39695 | Loss: 3.2456 | Avg: 3.7489
Epoch 1/1 | Step 11000/39695 | Loss: 3.2709 | Avg: 3.7437
Epoch 1/1 | Step 11100/39695 | Loss: 3.2825 | Avg: 3.7390
Epoch 1/1 | Step 11200/39695 | Loss: 3.2521 | Avg: 3.7343
Epoch 1/1 | Step 11300/39695 | Loss: 3.0653 | Avg: 3.7294
Epoch 1/1 | Step 11400/39695 | Loss: 3.1352 | Avg: 3.7245
Epoch 1/1 | Step 11500/39695 | Loss: 3.2842 | Avg: 3.7198
Epoch 1/1 | Step 11600/39695 | Loss: 3.2433 | Avg: 3.7154
Epoch 1/1 | Step 11700/39695 | Loss: 3.1900 | Avg: 3.7108
